nome,nome,votos
PAULA CRISTINA DE SIQUEIRA PINHEIRO,PAULA CRISTINA DE SIQUEIRA PINHEIRO,155
MAGNO OLIVEIRA ROCHA,MAGNO OLIVEIRA ROCHA,1120
ALANA MARIA FERREIRA BISPO,ALANA MARIA FERREIRA BISPO,853
FRANDERRAK DOS SANTOS MASCARENHAS,FRANDERRAK DOS SANTOS MASCARENHAS,3208
JOILSON BARROS SANTOS,JOILSON BARROS SANTOS,1523
UILSON MAGALHAES SILVA,UILSON MAGALHAES SILVA,1330
DAMIÃO DOS SANTOS,DAMIÃO DOS SANTOS,1943
JOSÉ WELLINGTON ALVES DOS SANTOS,JOSÉ WELLINGTON ALVES DOS SANTOS,1034
AUGUSTO CESAR RIBEIRO JAMBEIRO,AUGUSTO CESAR RIBEIRO JAMBEIRO,0
EDVANIA SANTOS MOURA,EDVANIA SANTOS MOURA,43
SIDINEA ALMEIDA PEDREIRA VRBATA,SIDINEA ALMEIDA PEDREIRA VRBATA,2511
ZILMAR ALVERITA DA SILVA,ZILMAR ALVERITA DA SILVA,4780
GUILHERME GOMES DE VASCONCELLOS,GUILHERME GOMES DE VASCONCELLOS,398
MARCIO VINICIUS FEITOSA RAMOS,MARCIO VINICIUS FEITOSA RAMOS,3527
MAIARA SANTOS DE CARVALHO,MAIARA SANTOS DE CARVALHO,80
MARIA FERREIRA DE SOUZA,MARIA FERREIRA DE SOUZA,61
CLEIDE MERCÊS COUTINHO,CLEIDE MERCÊS COUTINHO,844
REINALDO DA CRUZ MARTINS,REINALDO DA CRUZ MARTINS,684
ANTONIA FERREIRA DE SOUSA NETA,ANTONIA FERREIRA DE SOUSA NETA,304
